Hprev,Cprev,Deaths,output,replicate
0.142857142857143,2.71428571428571,1667,Ens0006,2
2.14285714285714,1.14285714285714,1572,Ens0006,3
1.71428571428571,2.57142857142857,1615,Ens0006,4
0.0,1.0,1724,Ens0006,5
0.0,2.14285714285714,1672,Ens0006,6
0.0,0.857142857142857,1640,Ens0006,7
2.42857142857143,2.0,1640,Ens0006,8
1.0,2.14285714285714,1619,Ens0006,9
1.42857142857143,4.28571428571429,1621,Ens0006,10
0.714285714285714,1.28571428571429,1571,Ens0006,11
1.71428571428571,3.0,1569,Ens0006,12
5.14285714285714,1.42857142857143,1443,Ens0006,13
0.0,1.57142857142857,1640,Ens0006,14
2.0,1.57142857142857,1594,Ens0006,15
9.0,11.5714285714286,1373,Ens0006,16
9.85714285714286,11.8571428571429,1293,Ens0006,17
7.14285714285714,5.0,1398,Ens0006,18
0.0,0.571428571428571,1731,Ens0006,19
0.0,2.0,1650,Ens0006,20
76.7142857142857,36.7142857142857,979,Ens0007,1
101.428571428571,38.8571428571429,1007,Ens0007,2
119.285714285714,49.7142857142857,945,Ens0007,3
85.1428571428571,25.4285714285714,1021,Ens0007,4
119.428571428571,38.5714285714286,956,Ens0007,5
138.571428571429,42.2857142857143,939,Ens0007,6
171.714285714286,60.1428571428571,829,Ens0007,7
208.714285714286,60.4285714285714,766,Ens0007,8
65.1428571428571,23.5714285714286,1111,Ens0007,9
60.1428571428571,29.4285714285714,1084,Ens0007,10
178.428571428571,64.1428571428571,832,Ens0007,11
99.5714285714286,46.2857142857143,1033,Ens0007,12
121.857142857143,54.4285714285714,976,Ens0007,13
76.5714285714286,35.7142857142857,1081,Ens0007,14
72.1428571428571,39.4285714285714,1006,Ens0007,15
244.857142857143,75.0,620,Ens0007,16
114.571428571429,52.8571428571429,966,Ens0007,17
103.0,45.8571428571429,1004,Ens0007,18
163.142857142857,46.7142857142857,827,Ens0007,19
189.714285714286,66.8571428571429,733,Ens0007,20
52.5714285714286,11.4285714285714,257,Ens0008,1
34.4285714285714,9.57142857142857,397,Ens0008,2
28.5714285714286,14.5714285714286,403,Ens0008,3
5.57142857142857,3.57142857142857,504,Ens0008,4
15.0,6.42857142857143,481,Ens0008,5
38.5714285714286,11.1428571428571,294,Ens0008,6
13.2857142857143,4.71428571428571,486,Ens0008,7
10.7142857142857,5.28571428571429,476,Ens0008,8
23.7142857142857,6.14285714285714,444,Ens0008,9
24.2857142857143,7.42857142857143,453,Ens0008,10
20.0,7.28571428571429,425,Ens0008,11
17.2857142857143,3.71428571428571,438,Ens0008,12
22.4285714285714,12.4285714285714,426,Ens0008,13
22.8571428571429,6.0,422,Ens0008,14
19.0,6.57142857142857,384,Ens0008,15
42.0,6.28571428571429,340,Ens0008,16
34.2857142857143,5.71428571428571,357,Ens0008,17
28.1428571428571,6.71428571428571,380,Ens0008,18
57.1428571428571,10.8571428571429,240,Ens0008,19
44.1428571428571,4.57142857142857,181,Ens0008,20
0.0,0.0,0,Ens0009,1
0.0,0.0,0,Ens0009,2
0.0,0.0,0,Ens0009,3
0.0,0.0,0,Ens0009,4
0.0,0.0,0,Ens0009,5
0,0,0,Ens0009,6
0.571428571428571,0.0,0,Ens0009,7
0.0,0.0,0,Ens0009,8
0.0,0.0,0,Ens0009,9
0.0,0.0,0,Ens0009,10
1.0,0.0,0,Ens0009,11
0.0,0.0,0,Ens0009,12
0.0,0.0,0,Ens0009,13
0.0,0.0,0,Ens0009,14
0.0,0.0,0,Ens0009,15
0.0,0.0,0,Ens0009,16
0.0,0.0,0,Ens0009,17
0.142857142857143,0.0,0,Ens0009,18
0.0,0.0,1,Ens0009,19
0.0,0.0,0,Ens0009,20
277.714285714286,286.428571428571,511,Ens000a,1
204.285714285714,433.0,1469,Ens000a,2
258.0,468.571428571429,1316,Ens000a,3
148.0,349.571428571429,1648,Ens000a,4
49.5714285714286,221.428571428571,1849,Ens000a,5
274.285714285714,476.714285714286,1230,Ens000a,6
13.7142857142857,109.857142857143,2160,Ens000a,7
109.571428571429,290.571428571429,1717,Ens000a,8
285.714285714286,313.0,555,Ens000a,9
89.2857142857143,242.428571428571,1816,Ens000a,10
296.0,473.714285714286,1284,Ens000a,11
243.285714285714,406.714285714286,1403,Ens000a,12
198.857142857143,408.857142857143,1502,Ens000a,13
319.285714285714,431.428571428571,1136,Ens000a,14
130.285714285714,356.0,1747,Ens000a,15
208.857142857143,416.714285714286,1485,Ens000a,16
86.1428571428571,251.714285714286,1802,Ens000a,17
167.571428571429,376.857142857143,1521,Ens000a,18
